ID_Cliente,Antiguedad_Meses,Cargo_Mensual,Porcentaje_Uso_Plan,Indice_Satisfaccion,Productos_Contratados,Llamadas_Soporte,Cargos_Extra,Abandono
CUST-0034,63,67.3,99.6,1.8,4,1.1,28.1,0
CUST-0035,5,28.6,99.0,6.6,4,10.6,18.9,0
CUST-0036,30,30.9,35.1,4.7,5,5.7,14.4,0
CUST-0037,45,98.9,47.6,3.7,6,5.8,51.5,1
CUST-0038,44,118.8,55.1,8.7,4,9.2,4.8,0
CUST-0039,35,20.3,94.8,8.2,4,8.0,35.5,0
CUST-0040,38,18.1,26.4,5.9,4,10.5,38.7,1
CUST-0041,55,72.5,25.5,7.7,2,9.3,9.5,0
CUST-0042,41,38.7,62.5,9.1,2,5.1,8.3,0
CUST-0043,62,85.2,75.8,1.9,5,1.0,24.4,0
CUST-0044,22,17.1,78.9,7.4,4,3.4,38.2,0
CUST-0045,15,21.9,13.6,3.0,5,5.5,42.7,1
CUST-0046,18,110.9,11.9,2.2,1,1.8,23.2,0
CUST-0047,7,38.7,22.8,8.9,4,9.8,16.4,0
CUST-0048,50,17.3,39.0,8.4,5,1.3,7.6,0
CUST-0049,39,18.9,68.0,4.1,3,9.4,26.7,1
CUST-0050,41,82.8,38.2,9.6,3,2.1,23.7,0
CUST-0051,4,51.8,19.3,5.2,6,2.2,1.9,0
CUST-0052,11,101.8,92.8,3.6,5,10.6,50.8,1
CUST-0053,29,71.5,61.9,7.4,6,7.7,36.8,0
CUST-0054,67,110.6,46.2,3.4,4,10.1,33.7,1
CUST-0055,38,21.6,61.0,3.0,4,1.7,51.0,0
CUST-0056,35,26.9,6.4,1.3,5,3.5,21.6,0
CUST-0057,22,18.7,66.1,9.4,5,6.8,47.9,0
CUST-0058,13,23.6,90.8,5.7,3,8.0,6.8,0
CUST-0059,23,96.5,56.1,5.8,3,3.5,13.5,0
CUST-0060,3,62.7,75.8,5.6,4,2.0,3.5,0
CUST-0061,53,55.2,63.7,6.8,4,8.7,54.7,1
CUST-0062,42,59.8,91.6,7.1,3,3.5,6.5,0
CUST-0063,9,45.5,15.3,8.1,2,10.5,58.8,1
CUST-0064,42,47.8,81.9,7.0,2,5.5,9.8,0
CUST-0065,12,102.2,45.4,5.6,4,11.1,11.6,0
CUST-0066,66,25.9,23.3,2.6,6,6.0,25.6,0
CUST-0067,44,98.9,51.7,4.6,6,9.3,16.3,0
CUST-0068,25,19.1,50.5,9.9,4,3.4,43.2,0
CUST-0069,70,16.5,9.2,2.6,1,7.5,12.5,0
CUST-0070,27,31.8,10.5,1.2,5,2.7,47.0,1
CUST-0071,31,107.9,95.6,8.0,4,6.3,34.7,0
CUST-0072,72,107.1,62.6,5.1,2,10.6,36.2,0
CUST-0073,39,116.2,55.5,4.1,4,11.1,51.1,1
CUST-0074,43,71.0,42.7,7.3,5,6.2,42.9,0
CUST-0075,11,69.7,85.1,4.4,2,3.2,42.5,0
CUST-0076,49,116.0,63.6,6.1,4,7.6,31.1,0
CUST-0077,11,25.3,7.1,7.4,5,6.5,20.9,0
CUST-0078,51,20.7,69.2,3.2,2,7.0,35.4,1
CUST-0079,22,22.7,60.4,6.7,3,9.8,48.1,1
CUST-0080,69,48.3,54.3,4.3,2,0.9,59.8,0
CUST-0081,5,38.7,74.4,9.7,1,10.3,14.9,0
CUST-0082,20,61.4,94.4,2.4,2,9.4,36.4,1
CUST-0083,27,46.1,69.3,1.4,1,7.5,19.4,1
CUST-0084,64,105.2,90.2,4.4,2,10.5,24.0,0
CUST-0085,36,72.6,95.1,8.7,5,10.7,26.0,0
CUST-0086,21,47.2,82.5,5.5,3,7.2,47.1,1
CUST-0087,58,50.1,71.9,1.7,2,9.2,3.9,0
CUST-0088,68,56.1,91.8,7.0,3,10.0,54.8,0
CUST-0089,44,83.9,9.2,2.2,2,3.5,6.4,1
CUST-0090,16,30.8,52.8,8.4,2,7.8,58.9,1
CUST-0091,70,91.2,35.8,3.2,6,11.6,9.0,1
CUST-0092,6,79.3,34.3,8.0,5,10.7,33.3,0
CUST-0093,38,70.7,49.4,5.8,2,4.2,48.5,0
CUST-0094,71,53.2,79.2,3.0,2,8.6,52.4,1
CUST-0095,19,56.5,31.1,1.5,5,7.2,1.7,1
CUST-0096,49,26.4,43.2,8.3,2,1.9,10.1,0
CUST-0097,24,72.2,75.5,8.7,1,0.2,24.1,0
CUST-0098,70,39.2,5.7,3.4,6,8.5,58.2,0
CUST-0099,66,84.6,40.1,1.4,2,8.0,28.6,0
CUST-0100,44,52.5,13.7,4.3,4,10.2,25.5,1
CUST-0101,3,63.3,50.1,8.9,2,10.4,4.6,0
CUST-0102,1,111.8,16.5,1.7,1,7.9,36.5,1
CUST-0103,18,39.6,52.8,7.9,3,9.7,36.1,0
CUST-0104,12,91.3,85.8,6.0,1,4.1,49.7,0
CUST-0105,44,60.2,37.8,4.6,3,1.3,21.2,0
CUST-0106,26,67.8,65.2,3.4,5,9.4,57.1,1
CUST-0107,30,37.0,66.4,8.0,6,4.0,50.3,0
CUST-0108,7,65.0,74.7,1.1,4,1.7,42.4,0
CUST-0109,71,15.1,16.0,3.4,4,7.3,5.0,0
CUST-0110,55,112.3,65.7,9.9,3,4.7,59.7,0
CUST-0111,42,23.1,85.5,7.0,4,1.8,56.9,0
CUST-0112,43,94.3,40.4,8.9,4,10.8,12.8,0
CUST-0113,6,26.1,64.3,3.7,4,10.3,26.3,1
CUST-0114,29,19.2,81.7,9.0,2,11.6,33.5,0
CUST-0115,63,90.4,27.4,1.3,6,10.1,1.2,0
CUST-0116,26,78.4,97.7,8.4,4,4.9,20.2,0
CUST-0117,50,22.3,79.8,4.2,5,0.1,55.6,0
CUST-0118,65,75.4,41.7,2.2,6,1.4,17.3,0
CUST-0119,26,57.3,6.5,5.2,4,7.3,28.6,1
CUST-0120,36,115.0,36.5,1.1,3,7.2,53.4,1
CUST-0121,45,78.9,62.0,3.8,6,9.9,22.8,0
CUST-0122,28,32.0,24.4,4.8,4,7.1,40.0,0
CUST-0123,3,98.2,49.9,6.6,4,3.7,3.6,0
CUST-0124,40,80.4,81.6,2.4,5,6.7,30.7,0
CUST-0125,46,102.2,17.8,1.3,3,8.9,57.5,1
CUST-0126,28,48.0,68.2,9.4,5,3.5,59.7,0
CUST-0127,63,113.5,96.8,2.1,4,5.2,50.9,0
CUST-0128,41,49.4,37.7,5.0,1,5.8,40.4,1
CUST-0129,29,39.2,56.5,5.0,2,9.8,9.1,0
CUST-0130,63,61.2,76.5,4.7,2,3.1,24.5,0
CUST-0131,59,44.8,94.1,6.7,3,1.2,14.6,0
CUST-0132,1,85.2,49.2,6.6,4,8.9,40.4,1
CUST-0133,42,88.3,9.9,5.0,3,9.1,46.5,1
CUST-0134,25,103.0,7.6,1.6,1,7.8,52.1,1
CUST-0135,53,84.4,91.1,8.4,5,1.2,58.6,0
CUST-0136,57,29.7,30.8,9.3,5,9.8,38.0,0
CUST-0137,56,68.6,97.2,9.7,3,10.7,58.6,0
CUST-0138,47,88.1,64.7,6.9,2,9.4,9.8,0
CUST-0139,33,46.0,49.4,4.5,1,10.1,6.4,1
CUST-0140,24,28.1,46.9,1.8,4,4.2,30.7,1
CUST-0141,40,50.5,70.1,9.7,4,2.6,13.6,0
CUST-0142,15,24.9,31.0,5.0,3,1.6,54.7,1
CUST-0143,54,98.9,33.0,1.3,3,4.5,1.3,0
CUST-0144,31,109.2,26.8,4.7,6,1.5,5.3,0
CUST-0145,29,40.1,67.5,4.7,5,4.2,19.7,0
CUST-0146,55,15.2,29.6,2.9,4,3.3,33.7,0
CUST-0147,27,33.8,18.4,5.3,4,4.7,26.2,0
CUST-0148,28,80.5,49.9,7.0,6,0.5,58.3,0
CUST-0149,58,84.8,45.9,3.4,5,6.7,24.6,0
CUST-0150,46,44.4,48.4,3.2,3,11.5,23.0,0
CUST-0151,71,102.1,84.7,5.1,2,2.8,23.6,0
CUST-0152,67,52.7,60.4,2.4,6,2.1,36.1,0
CUST-0153,12,62.9,64.2,5.7,4,9.0,55.8,1
CUST-0154,37,86.2,35.5,4.3,6,0.7,28.9,0
CUST-0155,20,71.5,33.0,7.5,3,10.5,16.0,0
CUST-0156,20,20.2,57.3,7.3,5,8.6,14.7,0
CUST-0157,61,103.6,93.6,2.9,6,5.5,40.5,0
CUST-0158,41,103.2,88.5,9.0,1,7.1,47.2,0
CUST-0159,57,65.4,52.2,1.5,2,11.2,45.3,1
CUST-0160,4,71.0,94.8,6.8,5,0.0,59.6,0
CUST-0161,14,62.4,18.0,4.0,6,10.7,45.4,1
CUST-0162,31,46.1,75.3,7.0,4,8.6,3.3,0
CUST-0163,9,38.6,53.4,2.9,1,7.9,53.1,1
CUST-0164,26,71.4,91.8,8.4,3,6.2,46.3,0
CUST-0165,33,45.5,13.4,9.6,3,10.3,37.1,1
CUST-0166,12,64.4,13.6,1.5,5,8.9,52.5,1
CUST-0167,52,91.5,50.2,1.1,3,11.5,0.9,1
CUST-0168,53,86.4,22.2,6.4,3,10.5,19.9,0
CUST-0169,63,95.4,73.3,2.0,3,10.0,1.9,0
CUST-0170,22,86.1,71.0,9.4,5,1.2,39.7,0
CUST-0171,7,50.8,63.8,3.4,1,4.3,49.7,0
CUST-0172,17,64.3,9.8,8.8,3,10.1,14.9,0
CUST-0173,45,85.3,8.9,8.9,1,11.2,5.5,1
CUST-0174,60,27.5,89.9,7.0,5,4.5,39.3,0
CUST-0175,44,99.2,27.4,8.2,2,0.6,20.2,0
CUST-0176,19,47.2,43.4,1.2,6,3.9,55.9,0
CUST-0177,61,34.8,18.5,4.2,3,10.7,13.6,1
CUST-0178,15,108.7,62.9,2.6,2,3.4,55.8,1
CUST-0179,47,40.3,72.0,5.1,5,10.2,52.9,1
CUST-0180,55,65.5,71.6,9.8,1,4.2,36.9,0
CUST-0181,46,109.1,22.9,6.8,3,1.3,11.5,0
CUST-0182,20,118.1,37.4,9.0,2,8.3,22.9,0
CUST-0183,39,33.7,50.9,2.0,2,2.5,7.9,0
CUST-0184,6,33.1,98.0,2.3,3,1.3,21.7,0
CUST-0185,2,94.7,45.4,8.6,3,7.3,4.1,0
CUST-0186,29,42.6,20.5,7.6,3,7.3,44.4,1
CUST-0187,37,70.2,14.8,6.7,2,2.8,4.9,0
CUST-0188,4,62.7,86.1,5.3,2,11.2,3.8,0
CUST-0189,71,29.2,21.6,2.1,4,0.8,16.1,0
CUST-0190,27,67.9,74.7,2.4,5,2.0,33.5,0
CUST-0191,58,76.4,21.8,9.2,3,8.1,3.5,0
CUST-0192,67,45.2,54.4,5.0,2,3.3,26.4,0
CUST-0193,36,95.8,84.7,6.4,1,9.5,31.7,0
CUST-0194,32,52.9,31.8,2.1,2,7.9,13.4,1
CUST-0195,44,20.0,42.5,8.7,1,10.8,42.9,1
CUST-0196,33,70.0,76.2,1.1,4,8.9,2.3,0
CUST-0197,33,99.1,90.1,5.1,2,8.9,55.1,1
CUST-0198,22,55.1,64.1,2.1,5,6.1,56.5,1
CUST-0199,2,119.9,54.8,4.5,1,11.2,1.8,1
CUST-0200,57,110.4,89.7,7.0,3,0.9,14.0,0
CUST-0201,50,94.6,90.9,8.9,3,6.1,49.9,0
CUST-0202,9,15.7,18.6,2.4,2,3.3,45.4,1
CUST-0203,10,110.6,44.2,5.2,6,5.4,18.9,0
CUST-0204,43,22.8,88.2,4.8,5,2.1,13.7,0
CUST-0205,3,73.8,52.3,1.5,3,3.8,59.5,1
CUST-0206,36,74.2,82.0,7.5,5,8.1,32.2,0
CUST-0207,71,83.0,98.5,1.2,3,8.9,12.4,0
CUST-0208,65,72.3,24.7,8.1,4,0.6,3.5,0
CUST-0209,18,69.2,42.1,2.8,3,0.6,27.0,0
CUST-0210,36,43.6,21.3,8.8,4,6.5,58.5,0
CUST-0211,40,63.9,27.9,1.3,2,9.1,40.3,1
CUST-0212,22,92.5,97.4,8.3,4,10.6,34.8,0
CUST-0213,1,49.3,40.6,5.9,3,2.6,35.2,0
CUST-0214,45,40.6,38.2,2.2,4,10.5,35.7,1
CUST-0215,56,16.1,30.0,5.4,2,1.0,0.1,0
CUST-0216,54,115.5,84.1,1.5,2,11.7,29.0,1
CUST-0217,2,23.6,35.4,4.0,6,11.7,6.6,0
CUST-0218,61,65.2,9.4,6.2,5,9.6,45.2,1
CUST-0219,41,48.3,25.1,4.5,4,11.4,49.1,1
CUST-0220,50,56.9,7.7,6.1,2,9.2,17.0,0
CUST-0221,63,42.8,21.5,8.4,2,1.5,3.2,0
CUST-0222,42,106.2,56.4,7.9,6,7.0,37.6,0
CUST-0223,53,100.4,35.5,7.8,2,2.5,4.3,0
CUST-0224,4,30.9,41.1,9.4,5,10.3,19.5,0
CUST-0225,12,93.5,96.3,3.7,3,1.1,46.9,0
CUST-0226,52,35.6,70.8,8.3,3,7.6,13.4,0
CUST-0227,9,48.2,91.2,6.6,2,4.5,2.5,0
CUST-0228,11,35.2,32.0,3.4,3,11.7,46.8,1
CUST-0229,29,98.1,79.9,1.3,2,11.6,59.2,1
CUST-0230,41,29.2,93.9,3.8,2,6.0,22.9,0
CUST-0231,31,18.6,39.6,1.3,4,7.2,20.0,1
CUST-0232,56,55.8,73.0,2.6,5,11.8,39.1,1
CUST-0233,5,20.4,84.5,4.2,5,5.5,41.4,0
CUST-0234,65,41.0,32.3,4.5,2,10.6,45.9,1
CUST-0235,29,74.4,20.4,1.5,4,8.1,52.8,1
CUST-0236,17,67.5,26.6,8.2,3,10.9,45.9,1
CUST-0237,43,74.9,39.8,6.1,5,11.2,14.4,1
CUST-0238,70,118.9,37.1,7.1,1,7.2,52.1,0
CUST-0239,49,109.5,85.9,7.8,1,0.2,56.6,0
CUST-0240,14,33.5,95.5,7.9,3,10.6,46.8,1
CUST-0241,27,97.4,73.0,1.1,4,4.5,18.6,0
CUST-0242,34,88.9,29.5,4.0,4,7.5,0.5,0
CUST-0243,63,58.9,10.6,3.3,4,8.4,7.0,0
CUST-0244,59,115.5,61.9,3.3,3,2.5,10.7,0
CUST-0245,52,69.4,33.6,1.5,6,5.3,54.5,0
CUST-0246,36,80.9,80.7,1.3,6,0.9,20.3,0
CUST-0247,41,108.4,51.6,6.9,5,5.2,18.9,0
CUST-0248,54,43.8,48.3,9.4,2,3.8,16.6,0
CUST-0249,69,118.6,63.8,1.5,6,4.9,21.8,0
CUST-0250,49,108.1,31.6,9.7,5,2.5,50.0,0
CUST-0251,18,64.9,93.4,1.7,5,6.9,47.3,0
CUST-0252,3,62.0,41.8,1.0,4,9.4,12.9,1
CUST-0253,23,98.7,27.8,4.6,5,2.2,20.4,0
CUST-0254,3,67.1,63.4,8.4,2,4.9,18.0,0
CUST-0255,29,91.5,27.8,6.9,2,1.3,6.5,0
CUST-0256,14,87.5,84.6,2.5,5,3.8,57.7,0
CUST-0257,70,114.5,82.6,5.4,5,4.2,49.6,0
CUST-0258,7,53.4,31.8,8.4,2,2.5,22.2,0
CUST-0259,33,77.1,39.2,6.2,3,8.0,10.9,0
CUST-0260,15,25.9,84.0,6.9,2,9.4,18.8,0
CUST-0261,8,101.6,12.4,7.6,4,1.1,8.2,0
CUST-0262,55,45.6,37.7,7.2,5,3.6,30.4,0
CUST-0263,56,56.7,34.2,9.9,1,6.3,14.2,0
CUST-0264,36,86.7,96.7,2.8,4,1.9,53.9,0
CUST-0265,57,36.8,83.9,6.2,5,3.1,55.2,0
CUST-0266,35,116.2,46.8,7.2,1,5.7,59.8,0
CUST-0267,51,106.2,22.1,1.8,4,7.1,50.0,1
CUST-0268,69,47.7,44.9,1.6,2,7.2,10.2,0
CUST-0269,9,42.8,96.2,5.2,5,4.1,8.8,0
CUST-0270,8,115.8,79.7,6.3,2,8.5,57.7,1
CUST-0271,37,27.6,19.4,1.8,5,5.1,51.5,1
CUST-0272,65,95.1,95.4,1.1,4,4.4,24.5,0
CUST-0273,5,73.4,45.8,8.6,4,5.4,7.1,0
CUST-0274,67,93.9,22.1,6.8,2,1.1,20.7,0
CUST-0275,32,84.1,50.0,2.8,1,2.7,31.7,0
CUST-0276,11,88.7,90.0,4.1,3,10.6,43.5,1
CUST-0277,44,18.5,31.7,3.0,4,4.3,27.9,0
CUST-0278,52,88.2,99.4,7.0,3,10.3,55.4,1
CUST-0279,49,54.6,50.5,7.0,2,9.8,23.2,0
CUST-0280,64,87.1,20.3,8.7,3,8.6,3.4,0
CUST-0281,48,18.7,65.3,1.6,3,5.6,8.7,0
CUST-0282,51,20.2,22.0,9.6,2,4.6,17.7,0
CUST-0283,27,74.2,59.6,7.6,2,8.1,18.2,0
CUST-0284,62,31.9,28.0,8.8,6,6.5,10.2,0
CUST-0285,8,45.9,70.4,9.0,5,9.9,26.7,0
CUST-0286,39,114.8,30.3,4.2,3,2.4,53.6,0
CUST-0287,44,108.9,28.6,7.1,2,11.1,28.9,1
CUST-0288,14,63.7,24.7,2.8,6,2.7,39.7,1
CUST-0289,54,112.9,73.2,3.1,6,1.5,58.5,0
CUST-0290,26,60.2,39.6,2.7,4,11.4,58.5,1
CUST-0291,32,60.9,11.2,8.0,4,3.8,26.7,0
CUST-0292,34,101.3,71.7,3.0,2,8.7,57.0,1
CUST-0293,27,63.6,12.2,6.7,5,8.2,40.9,0
CUST-0294,52,58.6,20.0,4.0,2,5.4,37.7,1
CUST-0295,62,83.3,68.4,3.9,6,3.0,3.2,0
CUST-0296,56,52.2,95.7,8.1,2,2.0,17.3,0
CUST-0297,50,97.8,23.7,6.7,2,5.7,49.9,1
CUST-0298,48,90.1,91.7,2.3,2,7.5,45.9,1
CUST-0299,61,55.1,78.9,6.8,5,9.2,29.4,0
CUST-0300,43,22.2,77.7,3.5,1,9.8,45.3,1
CUST-0301,29,36.5,61.1,8.4,3,1.2,1.5,0
CUST-0302,49,18.9,49.6,5.6,3,6.8,7.9,0
CUST-0303,21,106.5,23.5,1.5,4,6.5,15.9,0
CUST-0304,63,105.9,54.2,6.4,4,0.9,15.4,0
CUST-0305,10,56.5,85.3,8.0,3,9.9,11.2,0
CUST-0306,50,117.4,28.8,8.7,2,5.9,17.8,0
CUST-0307,4,93.7,80.7,9.3,2,10.8,13.3,0
CUST-0308,5,71.1,21.2,2.4,3,5.8,31.8,1
CUST-0309,34,60.6,64.5,1.9,2,6.2,34.4,0
CUST-0310,8,16.5,29.0,1.7,4,9.2,39.6,1
CUST-0311,68,18.8,56.2,6.3,2,9.4,31.6,1
CUST-0312,71,94.4,29.8,8.9,4,8.7,8.1,0
CUST-0313,69,97.9,69.7,4.8,6,8.7,46.0,0
CUST-0314,53,70.8,10.2,6.6,5,10.8,26.9,0
CUST-0315,53,30.0,48.2,5.0,5,9.8,40.7,0
CUST-0316,71,25.8,91.0,2.9,2,7.4,27.8,0
CUST-0317,7,48.3,83.9,4.4,3,7.3,40.6,0
CUST-0318,64,98.2,81.9,5.0,2,6.2,43.1,0
CUST-0319,12,106.5,67.4,8.8,2,2.7,30.0,0
CUST-0320,60,18.8,80.8,1.9,6,1.5,44.2,0
CUST-0321,23,42.8,97.7,6.4,5,11.8,32.5,0
CUST-0322,24,115.3,28.9,10.0,1,5.0,21.0,0
CUST-0323,63,58.6,36.8,3.6,2,10.8,8.8,0
CUST-0324,54,110.4,25.1,1.4,1,4.3,0.1,0
CUST-0325,2,43.2,14.2,7.9,2,3.6,55.9,0
CUST-0326,17,22.0,70.7,3.5,2,6.2,3.6,0
CUST-0327,37,52.4,76.9,1.9,2,4.3,5.8,0
CUST-0328,30,116.2,99.5,1.1,5,6.8,8.0,0
CUST-0329,41,52.6,28.7,6.1,4,7.9,44.3,0
CUST-0330,19,22.0,6.8,8.1,3,10.7,23.0,1
CUST-0331,47,85.1,30.5,7.9,2,9.2,9.7,0
CUST-0332,67,50.2,59.7,5.7,5,1.5,50.1,0
CUST-0333,20,115.0,59.3,7.2,2,9.4,11.3,0
CUST-0334,38,97.4,71.5,5.7,1,8.9,41.4,1
CUST-0335,59,90.2,33.1,7.7,2,11.1,28.6,0
CUST-0336,66,20.0,96.5,6.3,3,6.8,38.3,0
CUST-0337,28,105.4,31.0,8.6,5,0.7,49.8,0
CUST-0338,42,113.6,79.3,1.2,2,4.9,10.5,0
CUST-0339,38,41.7,37.4,5.4,5,3.4,30.5,0
CUST-0340,29,16.7,75.3,7.8,6,6.7,54.3,0
CUST-0341,9,44.9,66.8,7.9,4,5.8,32.6,0
CUST-0342,33,29.9,89.4,4.0,4,4.6,51.8,0
CUST-0343,13,60.1,98.5,5.4,2,11.0,3.0,0
CUST-0344,62,19.9,11.5,1.6,3,10.8,49.4,1
CUST-0345,46,100.5,11.5,2.8,4,8.8,32.3,1
CUST-0346,43,108.8,25.8,1.1,4,3.7,36.5,1
CUST-0347,13,96.6,89.0,3.3,3,6.7,13.5,0
CUST-0348,19,102.7,70.6,1.9,2,6.6,24.4,1
CUST-0349,5,60.2,97.9,9.1,1,1.0,20.9,0
CUST-0350,67,76.4,57.8,2.3,5,11.1,5.2,0
CUST-0351,63,38.5,78.9,3.8,6,7.0,28.8,0
CUST-0352,69,116.8,92.9,9.4,4,7.2,30.1,0
CUST-0353,33,68.1,90.9,6.8,1,5.8,50.3,0
CUST-0354,59,67.5,29.4,3.7,4,2.0,48.6,0
CUST-0355,42,24.2,50.7,2.5,2,11.7,35.8,1
CUST-0356,61,112.3,68.6,2.5,4,3.2,46.9,0
CUST-0357,62,99.4,47.9,3.1,1,6.2,12.0,0
CUST-0358,9,100.1,29.4,6.5,5,0.9,6.8,0
CUST-0359,38,23.1,89.2,4.5,4,4.9,40.7,0
CUST-0360,16,22.9,42.8,9.3,5,11.1,44.6,1
CUST-0361,18,65.2,33.6,5.1,5,4.6,57.2,1
CUST-0362,7,75.9,11.7,7.2,4,10.0,9.7,1
CUST-0363,66,45.4,96.7,5.9,3,1.8,9.6,0
CUST-0364,58,85.8,20.6,8.5,6,1.0,43.2,0
CUST-0365,39,22.5,25.4,2.3,2,11.4,56.9,1
CUST-0366,33,95.2,80.1,7.1,2,9.4,56.9,1
CUST-0367,67,37.7,77.8,2.8,4,1.6,48.2,0
CUST-0368,60,106.6,62.0,1.3,5,4.9,51.9,0
CUST-0369,46,69.5,7.9,2.2,3,8.6,21.5,1
CUST-0370,29,36.6,13.4,3.0,2,4.7,17.6,0
CUST-0371,48,92.2,44.8,9.6,5,11.3,42.0,0
CUST-0372,70,89.7,91.9,2.7,2,8.1,10.0,0
CUST-0373,26,30.4,68.1,3.6,3,9.9,41.4,1
CUST-0374,42,82.4,25.0,5.5,5,3.2,50.8,0
CUST-0375,13,27.5,17.1,4.9,3,9.2,16.1,1
CUST-0376,23,27.6,90.1,5.3,5,9.9,26.1,0
CUST-0377,37,85.3,15.6,5.1,1,0.7,46.5,0
CUST-0378,6,88.3,98.7,2.8,3,2.1,5.1,0
CUST-0379,36,17.9,21.7,3.2,5,5.6,15.3,0
CUST-0380,32,111.7,91.4,6.4,4,11.1,18.7,0
CUST-0381,59,35.5,47.3,5.9,5,9.9,46.5,1
CUST-0382,32,108.6,82.8,5.6,4,11.9,18.8,0
CUST-0383,42,68.9,92.9,1.4,2,6.5,44.0,1
CUST-0384,28,101.8,90.5,7.8,4,2.3,16.1,0
CUST-0385,1,38.1,82.5,5.0,4,2.4,10.6,0
CUST-0386,48,81.0,70.7,2.5,6,9.2,39.9,1
CUST-0387,27,16.9,82.7,5.4,4,1.3,6.5,0
CUST-0388,43,61.1,42.0,7.1,3,11.8,36.0,1
CUST-0389,51,81.4,48.0,1.6,3,10.5,48.0,1
CUST-0390,15,36.8,20.7,4.5,5,8.1,6.1,0
CUST-0391,52,54.4,40.2,3.2,1,11.4,6.6,1
CUST-0392,2,41.4,50.3,6.4,3,9.5,26.1,1
CUST-0393,38,89.6,68.0,4.1,5,2.4,47.4,0
CUST-0394,68,100.8,41.1,9.3,5,0.2,24.9,0
CUST-0395,35,100.0,22.0,1.1,3,5.7,47.9,1
CUST-0396,2,83.0,85.0,3.6,4,3.1,43.4,0
CUST-0397,2,27.9,84.1,3.1,2,1.9,37.0,0
CUST-0398,19,71.4,10.1,1.3,5,3.1,13.2,1
CUST-0399,31,113.1,92.3,5.4,2,8.9,33.6,0
CUST-0400,32,109.7,75.4,10.0,4,1.8,15.0,0
