Fecha,Mes,Temperatura,Humedad,Presion_Atmosferica,Velocidad_Viento,Nubosidad,Precipitacion,Lluvia
2023-02-18,2,15.3,66.8,1020.2,11.1,20.9,2.2,0
2023-02-19,2,15.2,55.0,1015.5,6.1,41.9,0.3,0
2023-02-20,2,18.9,43.2,1027.8,21.5,59.8,2.3,0
2023-02-21,2,13.8,50.7,1013.4,6.3,28.3,0.0,0
2023-02-22,2,10.1,84.9,1013.9,14.1,74.9,11.6,1
2023-02-23,2,12.7,25.6,1016.8,6.2,26.2,0.8,0
2023-02-24,2,11.0,66.4,1014.0,12.8,26.0,1.3,0
2023-02-25,2,13.4,51.0,1027.9,6.0,51.0,0.0,0
2023-02-26,2,12.4,87.6,994.8,13.1,72.6,20.3,1
2023-02-27,2,9.8,79.9,1006.4,13.9,53.8,14.9,1
2023-02-28,2,18.1,52.3,1020.1,2.5,15.9,2.1,0
2023-03-01,3,18.4,83.3,1006.8,15.8,75.4,21.1,1
2023-03-02,3,13.2,83.8,1005.4,28.2,71.1,3.2,1
2023-03-03,3,24.7,45.7,1027.9,21.2,42.4,1.2,0
2023-03-04,3,16.7,77.7,1008.8,8.1,81.4,4.8,1
2023-03-05,3,23.4,43.8,1018.4,4.2,46.0,0.0,0
2023-03-06,3,20.4,31.8,1019.7,13.8,29.3,0.0,0
2023-03-07,3,13.6,29.4,1025.1,11.9,21.6,0.0,0
2023-03-08,3,17.5,55.4,1016.2,2.7,37.0,1.1,0
2023-03-09,3,21.8,49.8,1006.7,15.2,21.2,0.8,0
2023-03-10,3,12.7,35.7,1026.5,10.2,31.4,0.0,0
2023-03-11,3,18.2,21.5,1010.9,8.1,8.3,1.3,0
2023-03-12,3,18.5,53.3,1016.9,5.4,43.4,0.7,0
2023-03-13,3,20.3,85.7,996.9,23.6,73.3,10.7,1
2023-03-14,3,23.7,79.9,1001.0,21.3,71.9,12.6,1
2023-03-15,3,14.9,90.0,1005.0,20.9,75.2,0.1,1
2023-03-16,3,22.9,46.8,1022.0,2.9,17.2,1.7,0
2023-03-17,3,18.3,58.5,1013.4,25.4,80.7,12.6,1
2023-03-18,3,15.4,41.7,1010.9,4.8,31.0,0.0,0
2023-03-19,3,23.6,59.6,1016.0,17.0,32.7,0.6,0
2023-03-20,3,21.9,41.9,1017.7,8.3,50.4,1.2,0
2023-03-21,3,19.1,21.8,1021.3,5.5,61.2,2.5,0
2023-03-22,3,14.5,50.0,1021.5,7.9,14.2,2.1,0
2023-03-23,3,23.5,40.8,1018.2,0.0,25.7,0.0,0
2023-03-24,3,17.1,66.6,1019.3,6.1,14.0,0.6,0
2023-03-25,3,22.5,65.9,994.3,20.1,80.5,8.0,1
2023-03-26,3,17.3,47.0,1021.9,5.6,34.3,1.1,0
2023-03-27,3,22.5,69.5,1016.0,23.7,99.3,13.2,1
2023-03-28,3,11.3,46.4,1020.8,7.9,19.4,0.0,0
2023-03-29,3,19.1,90.1,996.7,16.6,65.1,7.6,1
2023-03-30,3,17.9,34.2,1023.3,12.2,28.5,1.3,0
2023-03-31,3,21.6,55.1,1008.8,10.8,34.2,1.1,0
2023-04-01,4,26.8,76.6,1005.7,22.4,80.3,15.1,1
2023-04-02,4,26.9,78.9,1003.7,14.6,87.5,10.4,1
2023-04-03,4,25.1,34.7,1015.8,11.2,14.9,0.0,0
2023-04-04,4,31.0,54.1,1028.8,13.2,36.6,0.0,0
2023-04-05,4,24.1,47.3,1028.8,15.8,14.1,3.5,0
2023-04-06,4,16.4,69.2,990.1,22.9,64.2,10.8,1
2023-04-07,4,25.4,44.4,1024.5,8.9,11.0,0.0,0
2023-04-08,4,23.4,89.4,1013.8,18.1,76.8,14.8,1
2023-04-09,4,19.2,74.3,993.3,21.0,70.8,0.1,1
2023-04-10,4,28.3,35.3,1012.2,12.8,11.5,0.0,0
2023-04-11,4,16.8,24.0,1015.9,17.8,38.1,0.8,0
2023-04-12,4,19.0,75.2,1013.8,15.1,69.2,0.5,1
2023-04-13,4,20.4,78.1,1005.0,21.1,67.0,14.9,1
2023-04-14,4,29.4,39.6,1017.4,6.5,65.0,0.0,0
2023-04-15,4,28.5,50.0,1023.9,16.0,10.6,0.0,0
2023-04-16,4,18.9,71.0,997.4,5.9,69.8,17.9,1
2023-04-17,4,19.0,88.8,996.6,15.6,92.3,7.0,1
2023-04-18,4,20.6,54.7,1030.2,9.5,15.1,1.2,0
2023-04-19,4,18.0,75.8,995.5,9.6,64.1,22.3,1
2023-04-20,4,23.5,59.5,1033.6,19.3,8.5,1.1,0
2023-04-21,4,19.7,74.3,1025.0,30.1,63.0,8.8,1
2023-04-22,4,25.8,73.4,1003.0,9.8,80.8,3.8,1
2023-04-23,4,20.9,67.5,1008.2,17.5,30.7,1.8,0
2023-04-24,4,13.8,43.7,1005.9,15.9,25.6,2.2,0
2023-04-25,4,14.6,77.3,1014.3,17.9,71.0,22.1,1
2023-04-26,4,25.0,86.0,998.2,19.7,63.1,8.8,1
2023-04-27,4,24.3,62.2,1031.1,12.2,32.7,2.2,0
2023-04-28,4,20.0,64.0,1014.3,17.0,65.4,0.1,1
2023-04-29,4,26.6,48.3,1012.0,12.2,50.9,0.0,0
2023-04-30,4,15.8,81.4,984.3,21.5,71.7,8.2,1
2023-05-01,5,22.8,60.7,1024.3,6.2,47.5,0.0,0
2023-05-02,5,23.4,62.5,1029.0,12.9,32.8,0.3,0
2023-05-03,5,38.1,25.2,1010.5,2.4,23.8,0.7,0
2023-05-04,5,20.2,51.4,1018.2,14.7,55.6,1.0,0
2023-05-05,5,29.0,56.7,1032.5,14.8,32.4,0.0,0
2023-05-06,5,23.8,38.9,1019.9,13.8,40.4,1.4,0
2023-05-07,5,33.2,46.3,1014.0,11.6,26.1,0.0,0
2023-05-08,5,21.1,36.0,1022.2,14.7,30.0,2.4,0
2023-05-09,5,23.1,45.9,1014.6,23.3,0.0,0.0,0
2023-05-10,5,24.3,36.9,1029.1,12.1,20.3,0.0,0
2023-05-11,5,17.3,78.4,998.2,26.0,79.1,1.6,1
2023-05-12,5,21.6,32.6,1009.5,2.2,14.5,0.0,0
2023-05-13,5,23.9,36.8,1024.9,12.2,8.6,0.0,0
2023-05-14,5,26.0,73.0,987.6,15.0,49.1,6.8,1
2023-05-15,5,27.5,36.9,1019.9,5.5,3.0,0.7,0
2023-05-16,5,33.7,91.6,1001.4,0.0,94.4,8.7,1
2023-05-17,5,33.1,40.6,1012.5,8.7,30.6,0.3,0
2023-05-18,5,23.2,29.1,1024.0,12.3,45.7,0.0,0
2023-05-19,5,34.2,48.9,1032.0,13.6,39.1,0.1,0
2023-05-20,5,28.9,39.5,1017.3,15.5,53.2,2.4,0
2023-05-21,5,32.8,87.6,1004.2,1.1,60.7,15.4,1
2023-05-22,5,20.2,84.4,996.8,18.5,71.1,13.9,1
2023-05-23,5,27.0,44.1,1022.0,8.2,0.0,1.4,0
2023-05-24,5,24.0,31.2,1021.3,12.4,20.5,1.3,0
2023-05-25,5,28.5,34.2,1032.2,11.2,17.3,0.0,0
2023-05-26,5,26.1,51.2,1021.3,13.4,53.2,1.2,0
2023-05-27,5,28.4,72.8,1007.8,15.0,75.6,11.6,1
2023-05-28,5,28.1,82.4,1019.1,19.2,73.8,10.4,1
2023-05-29,5,26.3,85.1,991.9,16.1,90.6,16.3,1
2023-05-30,5,19.1,48.1,1022.0,9.5,43.8,1.2,0
2023-05-31,5,27.7,21.4,1027.4,12.1,0.0,1.2,0
2023-06-01,6,25.0,55.6,1028.4,13.3,34.9,0.3,0
2023-06-02,6,32.9,48.9,1028.6,9.8,17.3,0.2,0
2023-06-03,6,24.8,81.1,997.0,8.3,69.2,0.1,1
2023-06-04,6,29.5,36.8,1013.0,11.5,31.8,1.4,0
2023-06-05,6,33.5,52.1,1022.3,9.1,23.9,0.9,0
2023-06-06,6,30.9,74.9,995.0,14.8,73.7,0.1,1
2023-06-07,6,26.7,75.3,1005.0,3.9,66.0,21.4,1
2023-06-08,6,28.1,14.0,1022.4,17.1,18.3,1.6,0
2023-06-09,6,30.3,50.7,1008.7,5.9,12.9,1.8,0
2023-06-10,6,36.1,18.1,1035.9,11.9,13.7,0.0,0
2023-06-11,6,31.5,72.5,1004.5,18.7,72.5,5.4,1
2023-06-12,6,33.5,33.7,1031.4,11.6,43.3,1.6,0
2023-06-13,6,30.9,57.2,1021.5,3.6,13.6,1.7,0
2023-06-14,6,31.1,79.3,1003.4,28.2,63.9,3.9,1
2023-06-15,6,25.7,46.2,1014.8,11.7,30.2,0.0,0
2023-06-16,6,28.0,32.5,1019.3,9.6,44.4,0.8,0
2023-06-17,6,29.1,83.2,1018.2,18.6,74.7,19.1,1
2023-06-18,6,31.8,55.5,1020.9,8.2,1.6,0.5,0
2023-06-19,6,30.8,76.2,995.7,13.8,92.5,4.4,1
2023-06-20,6,29.0,69.9,1008.5,8.8,83.8,12.9,1
2023-06-21,6,34.4,62.4,996.7,13.5,79.2,7.0,1
2023-06-22,6,27.3,51.3,1016.6,9.8,25.5,1.0,0
2023-06-23,6,21.3,43.4,1022.0,6.6,26.1,0.0,0
2023-06-24,6,31.6,51.3,1025.3,17.7,31.4,0.0,0
2023-06-25,6,23.3,45.7,1010.9,7.2,0.0,1.2,0
2023-06-26,6,24.3,28.1,1014.4,11.5,33.3,0.8,0
2023-06-27,6,29.8,49.0,1032.4,13.3,23.9,1.5,0
2023-06-28,6,37.1,56.1,1011.3,11.5,16.6,0.0,0
2023-06-29,6,32.2,20.4,1016.5,15.1,38.0,0.0,0
2023-06-30,6,30.8,80.3,1002.9,9.9,82.4,7.7,1
2023-07-01,7,33.4,53.0,1023.7,14.1,13.1,1.0,0
2023-07-02,7,31.2,57.0,1018.4,8.5,8.4,0.0,0
2023-07-03,7,37.0,55.1,1031.8,4.4,26.4,0.0,0
2023-07-04,7,29.4,87.2,1002.5,11.4,59.6,29.0,1
2023-07-05,7,24.2,29.1,1024.0,3.1,11.0,1.7,0
2023-07-06,7,35.1,27.7,1014.1,12.2,8.7,0.3,0
2023-07-07,7,30.4,50.8,1020.6,12.7,46.4,0.1,0
2023-07-08,7,38.8,85.2,1006.7,16.7,77.5,0.1,1
2023-07-09,7,28.5,89.7,1011.7,7.5,70.7,15.3,1
2023-07-10,7,32.9,38.3,1020.6,15.4,10.9,1.3,0
2023-07-11,7,30.6,64.5,1022.8,4.8,17.4,0.3,0
2023-07-12,7,34.0,35.1,1018.6,14.8,46.6,0.4,0
2023-07-13,7,21.7,39.6,1020.0,17.2,32.6,0.0,0
2023-07-14,7,35.6,70.8,1002.0,29.6,86.1,0.1,1
2023-07-15,7,30.8,95.2,1006.5,25.5,52.7,19.4,1
2023-07-16,7,31.5,79.5,1012.8,17.8,67.7,11.9,1
2023-07-17,7,40.0,49.9,1023.7,13.1,14.4,0.0,0
2023-07-18,7,35.0,67.2,1008.2,18.1,72.0,3.6,1
2023-07-19,7,31.7,67.8,1024.4,12.7,27.4,0.0,0
2023-07-20,7,31.6,48.6,1031.7,17.0,34.5,0.0,0
2023-07-21,7,31.4,43.8,1011.3,13.0,30.4,1.1,0
2023-07-22,7,32.2,57.4,1027.8,12.5,64.9,1.9,0
2023-07-23,7,20.1,43.4,1007.0,0.0,16.9,1.2,0
2023-07-24,7,32.0,47.2,1011.7,3.8,16.3,1.8,0
2023-07-25,7,31.7,70.8,1011.3,28.8,57.4,7.8,1
2023-07-26,7,26.0,49.1,1021.3,4.5,32.0,0.2,0
2023-07-27,7,31.7,48.5,1000.0,8.5,63.7,1.1,0
2023-07-28,7,29.1,42.6,1022.7,0.2,35.1,1.4,0
2023-07-29,7,31.0,50.4,1025.5,7.0,49.0,0.0,0
2023-07-30,7,36.6,42.7,1023.6,2.4,46.1,0.0,0
2023-07-31,7,36.8,52.8,1029.0,13.5,17.3,0.3,0
2023-08-01,8,28.1,60.3,1033.6,12.7,24.8,0.0,0
2023-08-02,8,21.5,75.0,1028.9,13.2,65.0,0.2,0
2023-08-03,8,25.3,61.3,1010.5,4.5,38.0,0.3,0
2023-08-04,8,31.5,46.0,1011.3,7.2,20.2,1.2,0
2023-08-05,8,25.8,18.6,1013.1,9.1,31.6,0.0,0
2023-08-06,8,28.2,73.1,997.2,23.9,73.9,2.6,1
2023-08-07,8,29.8,54.3,1027.0,7.1,42.3,0.5,0
2023-08-08,8,35.6,61.4,1029.0,14.0,43.1,0.0,0
2023-08-09,8,32.0,36.3,1030.6,3.8,47.2,1.0,0
2023-08-10,8,27.8,18.3,1023.4,12.3,34.8,0.0,0
2023-08-11,8,34.5,88.8,1008.4,9.6,66.0,9.4,1
2023-08-12,8,28.7,41.7,1008.2,8.6,53.9,0.5,0
2023-08-13,8,30.7,40.8,1017.3,5.8,19.7,0.0,0
2023-08-14,8,35.0,30.5,1006.0,14.5,46.2,2.9,0
2023-08-15,8,31.9,79.4,1003.1,11.8,79.5,18.1,1
2023-08-16,8,37.9,35.8,1016.6,9.2,29.9,1.9,0
2023-08-17,8,28.4,59.0,1025.8,16.0,47.5,2.6,0
2023-08-18,8,29.0,28.9,1022.1,10.3,4.2,0.0,0
2023-08-19,8,26.7,32.8,1014.7,5.5,31.7,0.0,0
2023-08-20,8,27.7,37.9,1017.7,6.1,3.0,0.7,0
2023-08-21,8,31.3,46.9,1015.3,7.3,19.9,0.6,0
2023-08-22,8,28.7,25.9,1013.8,14.7,37.8,0.4,0
2023-08-23,8,28.1,57.2,1018.3,14.8,30.1,1.0,0
2023-08-24,8,27.7,39.0,1014.6,8.0,37.2,1.3,0
2023-08-25,8,30.4,31.0,1036.7,11.7,17.1,0.5,0
2023-08-26,8,19.6,43.9,1005.5,10.3,27.1,0.8,0
2023-08-27,8,27.4,33.8,1028.3,4.6,39.1,0.0,0
2023-08-28,8,30.3,33.6,1017.4,9.4,21.1,0.2,0
2023-08-29,8,23.2,44.5,1034.0,19.2,52.6,0.4,0
2023-08-30,8,24.4,58.2,1022.6,15.7,53.3,0.0,0
2023-08-31,8,28.8,78.0,994.5,20.6,69.4,19.9,1
2023-09-01,9,22.5,44.0,1019.6,5.8,53.9,3.1,0
2023-09-02,9,22.1,64.3,1022.7,5.6,26.8,0.0,0
2023-09-03,9,20.8,15.2,1019.4,8.9,37.0,0.0,0
2023-09-04,9,15.7,50.0,1018.3,3.5,33.2,0.0,0
2023-09-05,9,28.7,59.8,1019.3,8.9,34.6,0.0,0
2023-09-06,9,27.8,76.8,1002.0,11.3,72.8,16.2,1
2023-09-07,9,27.4,18.3,1023.1,12.6,29.5,0.1,0
2023-09-08,9,23.3,60.8,1025.5,7.6,26.4,1.1,0
2023-09-09,9,21.8,61.4,1016.5,7.9,15.7,0.0,0
2023-09-10,9,26.1,88.2,1003.7,22.6,83.3,10.9,1
2023-09-11,9,25.0,34.9,1019.5,12.5,54.4,0.0,0
2023-09-12,9,24.3,34.5,1022.0,6.1,45.5,0.0,0
2023-09-13,9,24.5,63.5,1015.3,10.4,19.2,0.8,0
2023-09-14,9,17.0,38.3,1015.5,8.1,43.5,1.6,0
2023-09-15,9,23.6,32.1,1019.3,7.7,44.7,0.8,0
2023-09-16,9,26.1,43.8,1033.2,5.9,43.8,0.1,0
2023-09-17,9,23.4,46.1,1022.5,8.8,20.7,1.8,0
2023-09-18,9,21.6,38.3,1026.6,19.2,60.6,0.0,0
2023-09-19,9,30.0,69.1,1036.5,5.0,16.0,1.2,0
2023-09-20,9,33.3,70.7,1011.5,17.4,70.7,10.4,1
2023-09-21,9,31.0,44.0,1015.5,10.7,57.1,0.0,0
2023-09-22,9,27.8,49.6,1019.0,1.2,29.6,1.1,0
2023-09-23,9,19.9,72.4,1009.5,10.5,88.2,0.1,1
2023-09-24,9,31.1,84.2,1005.1,23.4,80.6,17.5,1
2023-09-25,9,26.6,65.0,1030.2,10.5,22.3,2.0,0
2023-09-26,9,25.5,75.3,988.0,17.8,71.4,19.6,1
2023-09-27,9,25.0,71.4,1000.8,14.8,82.2,8.6,1
2023-09-28,9,27.5,50.1,1012.5,8.3,17.8,0.0,0
2023-09-29,9,20.3,75.2,1007.3,15.9,75.3,25.4,1
2023-09-30,9,20.1,82.1,995.9,15.5,71.7,10.9,1
2023-10-01,10,18.0,76.0,1007.9,26.9,70.1,11.5,1
2023-10-02,10,24.0,52.8,1017.7,10.5,12.8,0.8,0
2023-10-03,10,12.9,50.1,1019.8,3.4,8.1,1.6,0
2023-10-04,10,23.5,80.1,1021.9,24.9,98.3,11.3,1
2023-10-05,10,24.0,47.4,1015.6,5.9,34.1,0.0,0
2023-10-06,10,23.9,44.5,1015.8,3.3,42.1,0.0,0
2023-10-07,10,14.4,75.2,992.3,16.0,80.4,20.9,1
2023-10-08,10,20.1,78.7,995.5,15.6,70.5,23.4,1
2023-10-09,10,21.3,72.6,1004.4,14.6,71.2,30.6,1
2023-10-10,10,21.5,33.4,1020.9,12.2,32.0,0.4,0
2023-10-11,10,25.3,48.4,1015.8,12.1,53.5,1.0,0
2023-10-12,10,21.6,93.6,1010.2,7.6,66.7,11.8,1
2023-10-13,10,17.7,59.7,1026.4,15.8,24.5,1.3,0
2023-10-14,10,20.6,84.7,1014.5,12.8,94.5,6.8,1
2023-10-15,10,15.8,51.2,1021.4,5.7,50.9,0.0,0
2023-10-16,10,18.0,80.3,1009.0,13.2,75.3,2.9,1
2023-10-17,10,18.1,24.0,1016.5,9.1,0.0,0.0,0
2023-10-18,10,20.1,53.1,1029.4,14.4,55.7,0.0,0
2023-10-19,10,21.2,53.8,1024.5,17.8,5.7,0.0,0
2023-10-20,10,19.2,29.8,1021.2,9.8,39.2,0.0,0
2023-10-21,10,29.4,70.1,1005.5,27.5,86.4,12.0,1
2023-10-22,10,22.5,70.6,1013.5,9.0,32.3,0.0,0
2023-10-23,10,19.7,59.4,1006.9,11.8,64.5,2.1,0
2023-10-24,10,23.3,39.1,1023.3,13.1,20.2,0.2,0
2023-10-25,10,24.8,38.7,1010.3,16.5,37.7,1.2,0
2023-10-26,10,14.2,45.1,1029.8,8.5,28.7,2.4,0
2023-10-27,10,17.6,45.4,1004.4,10.8,41.6,1.9,0
2023-10-28,10,14.5,75.0,1016.2,14.5,93.9,15.3,1
2023-10-29,10,20.4,32.7,1028.3,10.3,32.7,2.1,0
2023-10-30,10,16.1,56.9,1019.2,10.0,17.2,0.0,0
2023-10-31,10,19.4,44.4,1032.7,11.0,23.6,3.2,0
2023-11-01,11,11.7,25.7,1022.7,12.6,35.3,0.8,0
2023-11-02,11,7.8,75.6,996.4,23.0,67.3,16.7,1
2023-11-03,11,17.9,44.5,1027.4,3.4,42.6,0.0,0
2023-11-04,11,18.3,51.5,1023.9,15.2,31.9,0.5,0
2023-11-05,11,8.6,53.5,1018.0,9.7,34.2,0.2,0
2023-11-06,11,16.9,68.4,1034.2,15.1,25.4,0.5,0
2023-11-07,11,19.2,71.9,1015.3,15.8,82.8,9.0,1
2023-11-08,11,15.1,65.4,1005.9,31.3,80.3,14.2,1
2023-11-09,11,8.5,88.9,1017.8,17.2,75.2,7.6,1
2023-11-10,11,5.0,77.9,997.6,28.1,57.4,17.9,1
2023-11-11,11,18.9,41.6,1028.1,9.7,41.8,0.6,0
2023-11-12,11,9.1,93.0,1014.5,23.0,68.7,1.4,1
2023-11-13,11,16.9,65.9,996.3,9.4,83.9,22.4,1
2023-11-14,11,14.2,81.5,1004.5,21.7,71.6,19.1,1
2023-11-15,11,16.7,57.1,1018.1,11.8,27.1,0.6,0
2023-11-16,11,12.1,73.9,1019.8,25.6,72.4,19.7,1
2023-11-17,11,24.2,26.4,1023.8,13.2,37.1,1.4,0
2023-11-18,11,13.6,78.1,1010.4,20.5,64.9,16.4,1
2023-11-19,11,15.1,61.8,1014.3,21.5,32.4,0.9,0
2023-11-20,11,12.3,59.5,1025.5,0.9,23.5,1.3,0
2023-11-21,11,17.1,77.3,996.9,34.6,81.3,10.3,1
2023-11-22,11,18.3,43.1,1020.3,14.9,10.4,0.6,0
2023-11-23,11,16.6,70.7,993.4,15.0,62.7,7.8,1
2023-11-24,11,5.6,35.8,1017.2,17.4,25.8,0.0,0
2023-11-25,11,18.0,65.1,1005.6,28.3,60.8,12.0,1
2023-11-26,11,13.5,64.2,997.3,22.9,86.4,11.5,1
2023-11-27,11,20.4,36.2,1026.9,6.2,33.6,0.0,0
2023-11-28,11,13.9,41.1,1018.7,8.8,22.3,0.0,0
2023-11-29,11,21.0,76.8,1003.9,18.4,75.4,0.1,1
2023-11-30,11,14.7,59.3,1013.4,11.7,12.8,0.0,0
2023-12-01,12,11.7,29.2,1025.7,13.2,28.1,0.7,0
2023-12-02,12,12.9,43.6,1015.4,10.9,38.2,1.2,0
2023-12-03,12,6.5,46.5,1016.0,18.7,25.7,0.0,0
2023-12-04,12,16.8,60.4,1025.2,9.6,26.0,0.0,0
2023-12-05,12,12.1,51.3,1016.3,11.8,40.5,0.3,0
2023-12-06,12,8.3,71.4,998.4,14.2,70.0,8.5,1
2023-12-07,12,10.2,37.2,1031.4,16.0,31.9,0.2,0
2023-12-08,12,12.4,54.8,1010.2,8.8,27.7,2.5,0
2023-12-09,12,6.5,35.6,1010.5,3.8,13.3,2.1,0
2023-12-10,12,10.1,35.3,1024.4,12.9,36.9,0.8,0
2023-12-11,12,13.5,61.8,1016.7,12.1,22.9,0.8,0
2023-12-12,12,6.9,31.1,1016.2,10.2,49.1,0.5,0
2023-12-13,12,9.3,86.0,1014.6,27.7,74.1,12.9,1
2023-12-14,12,15.6,41.8,1024.3,5.1,23.8,0.0,0
2023-12-15,12,11.9,46.5,1015.9,9.3,26.9,1.3,0
2023-12-16,12,5.0,50.2,1029.1,15.7,23.0,0.3,0
2023-12-17,12,12.7,34.7,1000.0,5.7,53.1,0.9,0
2023-12-18,12,17.0,58.6,1013.8,11.4,13.1,4.1,0
2023-12-19,12,12.8,33.2,1023.5,3.8,31.8,0.0,0
2023-12-20,12,7.3,60.2,1021.3,13.3,34.1,1.0,0
2023-12-21,12,14.5,80.7,1003.1,12.5,66.4,10.3,1
2023-12-22,12,10.1,68.6,1032.0,8.0,27.1,0.1,0
2023-12-23,12,21.9,26.7,1020.0,17.9,51.0,1.9,0
2023-12-24,12,14.2,27.1,1019.2,15.1,10.4,0.6,0
2023-12-25,12,5.6,50.1,1017.1,21.6,45.1,1.2,0
2023-12-26,12,5.0,92.4,1003.6,6.7,92.2,12.2,1
2023-12-27,12,5.3,81.1,1006.7,25.3,86.4,15.8,1
2023-12-28,12,11.8,54.2,1012.6,7.7,19.7,1.6,0
2023-12-29,12,7.6,88.1,1001.0,18.9,89.2,20.2,1
2023-12-30,12,13.7,71.3,1003.4,14.6,81.5,10.6,1
2023-12-31,12,9.6,39.3,1020.0,14.8,26.7,1.9,0
2024-01-01,1,14.0,40.9,1021.0,17.3,22.1,2.0,0
2024-01-02,1,11.9,44.5,1019.6,9.4,37.2,1.0,0
2024-01-03,1,9.5,24.2,1026.2,12.1,22.9,0.7,0
2024-01-04,1,11.8,74.3,1007.0,6.4,79.0,9.0,1
2024-01-05,1,20.4,96.7,999.9,11.9,73.7,11.8,1
2024-01-06,1,11.0,66.9,1007.2,15.7,62.1,18.4,1
2024-01-07,1,17.4,56.8,1018.5,12.5,1.2,2.2,0
2024-01-08,1,11.7,50.0,1021.9,2.5,13.4,0.0,0
2024-01-09,1,15.4,68.4,1004.9,12.1,63.1,10.9,1
2024-01-10,1,20.0,53.6,1010.6,10.0,22.7,0.5,0
2024-01-11,1,5.0,39.1,1025.8,5.0,37.3,0.3,0
2024-01-12,1,8.0,58.6,1022.6,10.2,54.7,0.0,0
2024-01-13,1,11.9,80.3,998.5,12.0,77.9,2.8,1
2024-01-14,1,6.6,84.3,1003.8,23.9,61.5,9.5,1
2024-01-15,1,9.3,44.4,1011.2,2.9,15.5,0.3,0
2024-01-16,1,11.4,41.0,1022.8,10.8,26.4,0.0,0
2024-01-17,1,8.0,50.3,1019.8,7.5,21.0,2.0,0
2024-01-18,1,10.4,66.0,1007.6,7.1,86.6,9.2,1
2024-01-19,1,13.0,50.4,1020.2,8.8,26.3,2.6,0
2024-01-20,1,13.1,72.0,1012.8,21.6,71.9,1.8,1
2024-01-21,1,9.0,55.9,1027.3,13.9,22.2,1.1,0
